year,hacked_total,hacked_reclost,hacked_recstolen,others_total,others_reclost,others_recstolen,total_total,total_reclost,total_recstolen
2012,15,467730000,462330000,10,236766024,230580000,25,704496024,692910000
2014,18,364370000,393000000,3,20128000,20132000,21,384498000,413132000
2011,17,198735838,198815000,18,30227649,30195000,35,228963487,229010000
2013,19,236376000,294906000,11,15926000,15980000,30,252302000,310886000
2015,16,186197000,187200000,5,3950000,4450000,21,190147000,191650000
2009,7,176521778,176560000,7,80290788,80202000,14,256812566,256762000
2005,1,40000000,40000000,3,4225000,4230000,4,44225000,44230000
2010,8,5976400,5960000,12,10160076,10250000,20,16136476,16210000
2016,15,457670436,457670436,7,259614115,259614115,22,717284551,717284551
2006,1,4000000,4000000,5,66300000,66300000,6,70300000,70300000
2004,1,92000000,92000000,1,0,0,2,92000000,92000000
2008,3,24500000,24500000,13,41566500,41606000,16,66066500,66106000
2007,4,106100000,106100000,9,50186405,50150000,13,156286405,156250000
